Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,160000000,4000,16,3.2297329902648926,184.0
pythia,1400000000,16000,32,2.538250684738159,68.0
pythia,70000000,1000,32,3.885141611099243,983.0
pythia,14000000,4000,2,4.706784248352051,202.0
pythia,31000000,32000,4,3.9142472743988037,238.0
pythia,2800000000,32000,128,2.1666107177734375,74.0
pythia,70000000,4000,2,3.8700873851776123,180.0
pythia,14000000,32000,32,3.950031042098999,712.0
pythia,14000000,64000,1,4.6351447105407715,38.0
pythia,70000000,8000,32,3.2481350898742676,658.0
pythia,160000000,4000,4,3.478044271469116,118.0
pythia,1000000000,16000,1,3.0868921279907227,36.0
pythia,1400000000,32000,32,2.4954888820648193,62.0
pythia,1000000000,8000,16,2.8170385360717773,66.0
pythia,31000000,1000,64,4.639408588409424,1000.0
pythia,2800000000,128000,1024,1.584890365600586,5.0
pythia,2800000000,2000,128,2.6173079013824463,84.0
pythia,14000000,8000,16,4.206881046295166,950.0
pythia,31000000,128000,8,inf,10.0
pythia,14000000,1000,32,5.400359630584717,1000.0
pythia,1400000000,1000,32,3.56378173828125,62.0
pythia,1400000000,64000,2,2.848984956741333,37.0
pythia,410000000,4000,128,2.607379674911499,178.0
pythia,31000000,2000,128,3.8162662982940674,1000.0
pythia,31000000,2000,64,3.897683620452881,999.0
pythia,160000000,1000,64,3.596499443054199,365.0
pythia,2800000000,4000,1,3.2278738021850586,33.0
pythia,14000000,1000,128,5.278453350067139,1000.0
pythia,410000000,8000,64,2.647979974746704,136.0
pythia,410000000,128000,1,3.0133821964263916,23.0
pythia,160000000,4000,64,2.908057928085327,348.0
pythia,160000000,128000,32,inf,8.0
pythia,1400000000,1000,1,4.3039445877075195,22.0
pythia,1000000000,128000,4,2.7548184394836426,28.0
pythia,31000000,2000,4,4.423725605010986,409.0
pythia,1400000000,8000,8,2.861196517944336,52.0
pythia,410000000,2000,2,3.7770121097564697,47.0
pythia,160000000,2000,1,3.9335217475891113,68.0
pythia,31000000,32000,32,3.4902853965759277,614.0
pythia,14000000,128000,128,inf,4.0
pythia,1400000000,128000,1,2.8163411617279053,22.0
pythia,1000000000,128000,64,2.321439027786255,61.0
pythia,160000000,64000,128,2.5654752254486084,261.0
pythia,410000000,128000,16,2.680032730102539,46.0
pythia,2800000000,16000,16,2.6000351905822754,43.0
pythia,14000000,64000,8,4.349403381347656,178.0
pythia,1000000000,32000,1,3.0243208408355713,37.0
pythia,1400000000,1000,2,4.231871604919434,24.0
pythia,1400000000,32000,16,2.6246373653411865,52.0
pythia,1400000000,128000,64,2.2357611656188965,52.0
pythia,1400000000,2000,2,3.5927155017852783,36.0
pythia,2800000000,4000,4,3.0327517986297607,36.0
pythia,70000000,2000,128,3.211367130279541,1000.0
pythia,70000000,128000,16,inf,10.0
pythia,14000000,32000,4,4.353682041168213,237.0
pythia,31000000,1000,8,5.030267715454102,963.0
pythia,410000000,4000,64,2.765113115310669,141.0
pythia,70000000,128000,2,inf,15.0
pythia,1400000000,1000,8,3.947193145751953,36.0
pythia,31000000,64000,16,3.657787322998047,297.0
pythia,31000000,16000,16,3.7013351917266846,511.0
pythia,1000000000,1000,1,4.332563400268555,28.0
pythia,1000000000,2000,128,2.710306406021118,150.0
pythia,410000000,16000,1,3.2086334228515625,60.0
pythia,31000000,32000,2,4.0110344886779785,181.0
pythia,14000000,32000,2,4.430224895477295,172.0
pythia,160000000,128000,64,inf,5.0
pythia,70000000,8000,1,3.8300390243530273,133.0
pythia,2800000000,8000,1,3.051506280899048,37.0
pythia,70000000,32000,2,3.6781132221221924,171.0
pythia,70000000,16000,32,3.2359254360198975,536.0
pythia,70000000,32000,8,3.477287530899048,242.0
pythia,31000000,2000,8,4.278492450714111,655.0
pythia,31000000,4000,2,4.2450971603393555,210.0
pythia,2800000000,32000,32,2.443376302719116,52.0
pythia,1000000000,1000,64,3.3618462085723877,113.0
pythia,160000000,64000,64,2.721698760986328,216.0
pythia,2800000000,32000,16,2.557156801223755,38.0
pythia,2800000000,8000,8,2.7817673683166504,41.0
pythia,160000000,8000,2,3.46587872505188,101.0
pythia,1400000000,1000,128,3.1545193195343018,96.0
pythia,1000000000,8000,2,3.120119333267212,50.0
pythia,2800000000,16000,8,2.699955701828003,38.0
pythia,70000000,128000,64,inf,5.0
pythia,2800000000,32000,1,2.883335828781128,37.0
pythia,31000000,4000,32,3.685877799987793,995.0
pythia,2800000000,4000,64,2.5369181632995605,62.0
pythia,160000000,16000,32,2.9245986938476562,212.0
pythia,31000000,2000,2,4.537311553955078,237.0
pythia,14000000,32000,1,4.472391128540039,140.0
pythia,410000000,64000,8,2.818776845932007,62.0
pythia,2800000000,16000,2,2.8893392086029053,36.0
pythia,410000000,8000,1,3.308316469192505,60.0
pythia,31000000,8000,8,3.914128541946411,375.0
pythia,31000000,32000,128,3.212921380996704,807.0
pythia,70000000,16000,64,3.0613760948181152,937.0
pythia,31000000,128000,4,inf,13.0
pythia,14000000,8000,8,4.375421047210693,492.0
pythia,2800000000,4000,32,2.669466495513916,51.0
pythia,160000000,2000,32,3.291825294494629,264.0
pythia,1400000000,64000,32,2.4432437419891357,56.0
pythia,410000000,4000,1,3.487924098968506,39.0
pythia,14000000,2000,128,4.504143238067627,1000.0
pythia,1400000000,128000,32,2.3536782264709473,43.0
pythia,160000000,1000,16,4.010385990142822,178.0
pythia,160000000,32000,4,3.222215175628662,114.0
pythia,2800000000,128000,128,2.0138304233551025,50.0
pythia,31000000,4000,1,4.293397426605225,166.0
pythia,1000000000,8000,8,2.9272122383117676,60.0
pythia,70000000,16000,4,3.6265273094177246,216.0
pythia,1400000000,128000,4,2.6576218605041504,28.0
pythia,1000000000,16000,16,2.7499914169311523,63.0
pythia,160000000,1000,4,4.338443279266357,96.0
pythia,1400000000,2000,128,2.695657253265381,114.0
pythia,1000000000,128000,2,2.8508529663085938,25.0
pythia,2800000000,16000,64,2.3545539379119873,63.0
pythia,1000000000,1000,32,3.5572774410247803,85.0
pythia,410000000,4000,2,3.4257683753967285,55.0
pythia,1000000000,64000,64,2.4334464073181152,76.0
pythia,1000000000,1000,128,3.1461873054504395,141.0
pythia,14000000,64000,4,4.480320453643799,120.0
pythia,410000000,2000,8,3.5294837951660156,68.0
pythia,410000000,128000,4,2.8575496673583984,31.0
pythia,14000000,4000,8,4.502458572387695,655.0
pythia,160000000,64000,4,3.1701745986938477,98.0
pythia,70000000,16000,16,3.387993097305298,344.0
pythia,160000000,1000,32,3.7923977375030518,252.0
pythia,410000000,128000,128,2.277324914932251,86.0
pythia,1400000000,8000,32,2.601905584335327,70.0
pythia,1000000000,1000,4,4.105082988739014,39.0
pythia,14000000,128000,64,inf,5.0
pythia,31000000,1000,128,4.546324729919434,1000.0
pythia,160000000,32000,16,3.022209405899048,156.0
pythia,70000000,2000,32,3.4529271125793457,992.0
pythia,2800000000,64000,64,2.24814772605896,58.0
pythia,160000000,128000,4,inf,13.0
pythia,2800000000,1000,128,3.1308445930480957,80.0
pythia,1400000000,32000,8,2.7297375202178955,46.0
pythia,1000000000,32000,4,2.882244348526001,51.0
pythia,14000000,8000,32,4.100161075592041,990.0
pythia,70000000,64000,128,3.825418472290039,4.0
pythia,1000000000,2000,64,2.891592264175415,117.0
pythia,70000000,128000,8,inf,10.0
pythia,410000000,128000,64,2.4124372005462646,72.0
pythia,1000000000,2000,32,3.057509422302246,91.0
pythia,1400000000,8000,64,2.478708505630493,86.0
pythia,70000000,8000,16,3.4186136722564697,391.0
pythia,2800000000,1000,2,4.264270305633545,19.0
pythia,70000000,64000,1,3.7292284965515137,106.0
pythia,1000000000,32000,64,2.4764292240142822,89.0
pythia,31000000,1000,1,5.421289443969727,195.0
pythia,31000000,16000,128,3.2618465423583984,996.0
pythia,31000000,1000,32,4.715024948120117,999.0
pythia,14000000,4000,4,4.629805088043213,350.0
pythia,410000000,4000,32,2.910426139831543,110.0
pythia,70000000,1000,8,4.327563762664795,310.0
pythia,2800000000,4000,16,2.8093724250793457,43.0
pythia,14000000,16000,16,4.127134323120117,764.0
pythia,1400000000,2000,32,3.0208327770233154,73.0
pythia,1400000000,8000,1,3.135995626449585,37.0
pythia,14000000,128000,8,inf,10.0
pythia,1400000000,4000,32,2.743441104888916,70.0
pythia,160000000,32000,8,3.1284446716308594,129.0
pythia,2800000000,16000,1,2.938239574432373,46.0
pythia,31000000,64000,2,4.008927345275879,134.0
pythia,70000000,1000,64,3.7333717346191406,1000.0
pythia,410000000,128000,32,2.5479817390441895,60.0
pythia,31000000,32000,8,3.8120439052581787,258.0
pythia,1000000000,128000,32,2.4580695629119873,46.0
pythia,1000000000,1000,2,4.2586798667907715,33.0
pythia,14000000,64000,2,4.5675368309021,91.0
pythia,1000000000,8000,32,2.686152696609497,82.0
pythia,14000000,4000,64,4.218353748321533,994.0
pythia,14000000,4000,1,4.744096279144287,141.0
pythia,1400000000,4000,64,2.6065361499786377,87.0
pythia,14000000,16000,64,3.905325174331665,997.0
pythia,1400000000,16000,16,2.6605618000030518,58.0
pythia,1000000000,128000,128,2.1858949661254883,69.0
pythia,1000000000,128000,1,2.9068732261657715,22.0
pythia,14000000,32000,64,3.838779926300049,757.0
pythia,31000000,8000,2,4.120170593261719,190.0
pythia,1400000000,8000,2,3.074446439743042,42.0
pythia,70000000,16000,8,3.521649122238159,256.0
pythia,70000000,128000,32,inf,8.0
pythia,1400000000,4000,16,2.889728546142578,56.0
pythia,31000000,64000,8,3.7941720485687256,225.0
pythia,70000000,16000,128,2.915914535522461,996.0
pythia,14000000,128000,2,inf,15.0
pythia,160000000,64000,32,2.8518333435058594,167.0
pythia,160000000,32000,64,2.7589354515075684,271.0
pythia,14000000,128000,4,inf,13.0
pythia,70000000,32000,32,3.1934447288513184,471.0
pythia,410000000,32000,32,2.651982307434082,106.0
pythia,1400000000,64000,8,2.6723015308380127,38.0
pythia,2800000000,1000,4,4.100876808166504,25.0
pythia,70000000,128000,1,inf,19.0
pythia,31000000,32000,1,4.064568519592285,143.0
pythia,1400000000,4000,128,2.4522275924682617,106.0
pythia,1400000000,1000,4,4.079411506652832,29.0
pythia,160000000,2000,16,3.472722291946411,192.0
pythia,31000000,128000,64,inf,5.0
pythia,14000000,128000,16,inf,10.0
pythia,1000000000,4000,2,3.2779428958892822,51.0
pythia,2800000000,2000,32,2.946765422821045,55.0
pythia,160000000,32000,128,2.6019883155822754,345.0
pythia,70000000,4000,8,3.6302130222320557,307.0
pythia,70000000,2000,16,3.659113645553589,597.0
pythia,31000000,4000,4,4.149843215942383,321.0
pythia,31000000,4000,8,4.0188798904418945,476.0
pythia,1400000000,32000,128,2.241898536682129,94.0
pythia,2800000000,128000,64,2.1525440216064453,44.0
pythia,410000000,16000,128,2.4409494400024414,166.0
pythia,410000000,16000,32,2.7124574184417725,106.0
pythia,410000000,2000,64,3.043689250946045,143.0
pythia,14000000,2000,64,4.577427864074707,994.0
pythia,2800000000,128000,32,2.279369354248047,35.0
pythia,1400000000,16000,8,2.7704508304595947,52.0
pythia,160000000,64000,1,3.3349523544311523,68.0
pythia,410000000,1000,64,3.6977550983428955,133.0
pythia,160000000,8000,16,3.1319124698638916,180.0
pythia,410000000,64000,64,2.484550714492798,109.0
pythia,160000000,4000,2,3.5924477577209473,96.0
pythia,160000000,128000,2,inf,15.0
pythia,70000000,128000,128,inf,4.0
pythia,70000000,2000,2,4.099788188934326,192.0
pythia,1000000000,4000,16,2.9336345195770264,70.0
pythia,1400000000,32000,1,2.959916353225708,42.0
pythia,70000000,16000,2,3.736473560333252,161.0
pythia,14000000,16000,32,3.993098020553589,947.0
pythia,160000000,16000,16,3.0604143142700195,164.0
pythia,410000000,4000,16,3.0591647624969482,88.0
pythia,1000000000,32000,16,2.695805072784424,62.0
pythia,410000000,8000,16,2.9147915840148926,90.0
pythia,1400000000,128000,2,2.76822829246521,25.0
pythia,1400000000,1000,64,3.3669400215148926,80.0
pythia,1000000000,16000,8,2.8499221801757812,59.0
pythia,2800000000,32000,2,2.8397669792175293,35.0
pythia,14000000,32000,128,3.721907138824463,748.0
pythia,160000000,8000,32,2.9856040477752686,235.0
pythia,31000000,64000,4,3.9021990299224854,179.0
pythia,70000000,2000,64,3.3165931701660156,999.0
pythia,160000000,32000,1,3.3814518451690674,69.0
pythia,70000000,8000,2,3.7906181812286377,152.0
pythia,14000000,32000,16,4.11539888381958,417.0
pythia,1000000000,64000,4,2.826852560043335,42.0
pythia,1000000000,4000,128,2.487199306488037,137.0
pythia,14000000,4000,32,4.272580623626709,998.0
pythia,70000000,8000,128,2.9536893367767334,999.0
pythia,2800000000,1000,8,3.9563794136047363,32.0
pythia,1000000000,4000,4,3.1571505069732666,56.0
pythia,1000000000,64000,1,2.978025436401367,34.0
pythia,31000000,2000,32,3.9693033695220947,1000.0
pythia,2800000000,1000,64,3.3494107723236084,66.0
pythia,31000000,1000,4,5.220952987670898,546.0
pythia,31000000,32000,16,3.676572799682617,357.0
pythia,410000000,8000,32,2.7768001556396484,108.0
pythia,1000000000,4000,32,2.786609172821045,88.0
pythia,14000000,8000,128,3.9334969520568848,1000.0
pythia,410000000,8000,128,2.5024590492248535,173.0
pythia,70000000,1000,2,4.596286773681641,151.0
pythia,410000000,32000,1,3.141005516052246,55.0
pythia,31000000,16000,64,3.3903517723083496,991.0
pythia,410000000,4000,8,3.1859660148620605,74.0
